Curso,Sexo,¿Quién es Richard Stallman?,¿Sabes qué características tiene el software libre?,¿Debe ser el software libre siempre gratuito?,¿Puedo proteger mi trabajo con alguna licencia y que siga siendo software libre?,¿Conoces alguna licencia de software?,¿Cuáles?,¿Liberarías tu código con una licencia Creative Commons?,Marca cuáles de los siguientes programas crees que tienen una licencia libre,¿Qué es el copyright?,¿Qué es el copyleft?,¿Cúal se aplica por defecto ante ausencia de licencia de una obra?,¿Cuántos años dura el copyright en España?,¿Qué ocurre pasado ese tiempo con la obra?,¿Conoces GitHub?,¿Has subido algún proyecto a GitHub?,¿Qué significa hacer un fork de un proyecto?
2,M,NS/NC,Software creada por gente anónima cuya distribución por internet es sin ánimo de lucro,Sí,No,Sí,Licencias ofrecidas por empresas,Depende de a que esté destinado,"uTorrent, Eclipse",Imposibilidad de copiar parte o totalidad de un producto por los derechos de autor,NS/NC,NS/NC,NS/NC,NS/NC,No,No,NS/NC
2,M,NS/NC,"Disponible para todos, sin ningún tipo de suscripción",No,Sí,Sí,CC,"Sí, porque me parece útil que el código esté disponible para otros estudiantes.","uTorrent, Eclipse",Derechos de la obra,obra libre,Copyleft,10,Cualquiera puede hacer uso de ella,Sí,No,NS/NC
2,M,Defensor del software libre,Libertad de acceso y modificación del software,NS/NC,No,No,,"No, no utilizaría ningún tipo de licencia",Mozilla Firefox,Derechos de publicación y uso,NS/NC,NS/NC,20 años después de la muerte del autor,NS/NC,Sí,No,Tenedorear un proyecto
2,M,El de software libre,NS/NC,NS/NC,No,Sí,CC,NS/NC,"Google Chrome, Eclipse, Mozilla Firefox, Microsoft Office",Derecho de autor para proteger su proyecto,NS/NC,NS/NC,5 años,Deja de existir,No,No,NS/NC
2,M,Sólo cree en el software libre,"Puedes modificar, copiar, mejorar",NS/NC,No,No,,"Sí, para poder mejorar el código","Eclipse, Telegram",Copia de contenido,NS/NC,NS/NC,25 años,NS/NC,Sí,Sí,"Hacer una copia sobre la que trabajan, de manera que pueden modificar un proyecto con regularidad"
2,M,Creador de GNU / Linux,El código es público,No,No,No,,CC creo que es que el usuario es libre de utilizar el material pero tiene que decir que ese material es del autor,"Eclipse, Telegram",Derechos de autor para proteger la propiedad intelectual,NS/NC,NS/NC,60 años después de la muerte del autor,NS/NC,No,No,NS/NC
2,M,Uno de los desarrolladores / fundadores de GNU y Linux,Gratis y modificable,Sí,No,No,,"Depende, solo liberar un código en el que quiero que intervengan","Eclipse, Telegram",Derecho de autor,NS/NC,NS/NC,60 años tras la muerte del autor,NS/NC,No,No,NS/NC
2,F,Código libre,Sí,Sí,No,Sí,GPL,"No, mi código es propio","Google Chrome, uTorrent, Mozilla Firefox, Telegram",Patentación de una marca u objeto para que no te la copien,NS/NC,Copyright,100 años,NS/NC,No,No,NS/NC
3,M,NS/NC,Código del software abierto,Sí,NS/NC,NS/NC,,,"Google Chrome, Eclipse, Mozilla Firefox",Derecho de copia,NS/NC,Copyleft,NS/NC,Abierta al público,Sí,No,NS/NC
3,M,Gran precursor del software libre,Gratuito,Sí,Sí,Sí,CC,"Sí, porque lo importante es darte a conocer y que otros puedan disfrutar de tu trabajo","Eclipse, Mozilla Firefox, Telegram",Derechos reservados de una obra,NS/NC,NS/NC,75 años,Libre para todo el mundo,Sí,No,"Dividir un proyecto, o crear una rama mientras desarrollas"
